url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,asset,query,timestamp_utc,text_for_sentiment,finbert_label,finbert_confidence,sentiment_score
https://www.moneycontrol.com/news/india/crude-stock-sufficient-no-instances-of-fuel-shortages-reported-at-retail-outlets-govt-13876703.html,https://www.moneycontrol.com/news/india/crude-stock-sufficient-no-instances-of-fuel-shortages-reported-at-retail-outlets-govt-13876703.html/amp,"Crude stock sufficient , no instances of fuel shortage reported at retail outlets : Govt",20260401T114500Z,https://images.moneycontrol.com/static-mcnews/2026/04/20260401100447_Sujata-crude.jpg,moneycontrol.com,English,India,OIL,crude inventory,2026-04-01 11:45:00+00:00,"Crude stock sufficient , no instances of fuel shortage reported at retail outlets : Govt",negative,0.592837929725647,-1
http://www.econotimes.com/Oil-Prices-Slide-as-Iran-Tensions-Ease-and-US-Crude-Stockpiles-Swell-1737984,,Oil Prices Slide as Iran Tensions Ease and U . S . Crude Stockpiles Swell,20260402T030000Z,https://f1.econotimes.com/2025/03/j4zm3dvlvy.jpg,econotimes.com,English,United States,OIL,crude inventory,2026-04-02 03:00:00+00:00,Oil Prices Slide as Iran Tensions Ease and U . S . Crude Stockpiles Swell,negative,0.951958954334259,-1
https://www.marketscreener.com/news/sinopec-first-quarter-net-income-up-28-on-higher-oil-prices-stable-fuel-sales-ce7f59d2db8af524,,"Sinopec first - quarter net income up 28 % on higher oil prices , stable fuel sales",20260428T131500Z,https://cdn.zonebourse.com/static/resize/0/0/images/reuters/2026-04/2026-04-28T124509Z_1_LYNXMPEM3R10H_RTROPTP_4_SINOPEC-RESULTS.JPG,marketscreener.com,English,,OIL,crude inventory,2026-04-28 13:15:00+00:00,"Sinopec first - quarter net income up 28 % on higher oil prices , stable fuel sales",positive,0.9532658457756042,1
https://finance.yahoo.com/sectors/energy/articles/oil-prices-top-115-iran-122809685.html,,Oil prices top $115 as Iran war talks stall over Hormuz,20260429T130000Z,https://s.yimg.com/ny/api/res/1.2/nsnrdaWCOXRF_jcb3ACVnw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/quartz_855/26c917623426fbc72c33171d0021b47c,finance.yahoo.com,English,United States,OIL,crude inventory,2026-04-29 13:00:00+00:00,Oil prices top $115 as Iran war talks stall over Hormuz,negative,0.837960422039032,-1
https://aninews.in/news/business/crude-oil-prices-jump-from-63-to-116-amid-west-asia-crisis-fuel-supply-remains-stable-petroleum-ministry20260421162908/,,Crude oil prices jump from $63 to $116 amid West Asia crisis ; fuel supply remains stable : Petroleum Ministry,20260421T111500Z,,aninews.in,English,India,OIL,crude inventory,2026-04-21 11:15:00+00:00,Crude oil prices jump from $63 to $116 amid West Asia crisis ; fuel supply remains stable : Petroleum Ministry,positive,0.9222725033760071,1
https://www.channelnewsasia.com/business/oil-prices-rise-strait-hormuz-ships-gunfire-6072126,,Oil prices rise after reports of container ships in Hormuz being hit by gunfire,20260422T110000Z,"https://dam.mediacorp.sg/image/upload/s--x3K9IiZB--/c_crop,h_440,w_782,x_4,y_13/c_fill,g_auto,h_338,w_600/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/one-cms/core/2026-04-21T225548Z_2_LYNXMPEM3K1DK_RTROPTP_3_USA-OIL-FRACKING.JPG?itok=MRFVK-qz",channelnewsasia.com,English,United States,OIL,crude inventory,2026-04-22 11:00:00+00:00,Oil prices rise after reports of container ships in Hormuz being hit by gunfire,negative,0.850238025188446,-1
https://kashmirreader.com/2026/04/02/india-has-adequate-seeds-fertiliser-stocks-for-kharif-season-says-centre-but-warns-states-on-hoarders/,,"India has adequate seeds , fertiliser stocks for Kharif season , says Centre , but warns states on hoarders",20260402T074500Z,,kashmirreader.com,English,India,OIL,crude inventory,2026-04-02 07:45:00+00:00,"India has adequate seeds , fertiliser stocks for Kharif season , says Centre , but warns states on hoarders",negative,0.6891856789588928,-1
https://www.rigzone.com/news/usa_crude_oil_stocks_drop_almost_1mm_barrels_wow-16-apr-2026-183467-article/,,USA Crude Oil Stocks Drop Almost 1MM Barrels WoW,20260416T174500Z,https://images.rigzone.com/images/news/articles/USA-Crude-Oil-Stocks-Drop-Almost-1MM-Barrels-WoW-183467-1200x628.png,rigzone.com,English,United States,OIL,crude inventory,2026-04-16 17:45:00+00:00,USA Crude Oil Stocks Drop Almost 1MM Barrels WoW,negative,0.970421314239502,-1
https://www.marketscreener.com/news/oil-remains-higher-as-markets-await-fed-decision-big-tech-earnings-ce7f59d3df89fe26,,"Oil Remains Higher as Markets Await Fed Decision , Big Tech Earnings",20260429T091500Z,https://www.marketscreener.com/images/twitter_MS_fdnoir.png,marketscreener.com,English,,OIL,crude inventory,2026-04-29 09:15:00+00:00,"Oil Remains Higher as Markets Await Fed Decision , Big Tech Earnings",neutral,0.45780402421951294,0
https://www.marinelink.com/news/oil-prices-jump-ships-fire-strait-hormuz-538325,,Oil Prices Jump As Ships Come Under Fire In Strait Of,20260422T100000Z,https://images.marinelink.com/images/maritime/w800/pattozher-adobe-170016.jpeg,marinelink.com,English,United States,OIL,crude inventory,2026-04-22 10:00:00+00:00,Oil Prices Jump As Ships Come Under Fire In Strait Of,negative,0.8913301229476929,-1
